,,BCQ,BCQ,CQL,CQL,IQL,IQL,BC,BC
24,1200,-14.5139929843908,-16.7627345215121,-19.3548285795187,-15.8243730200486,-61.9454885955237,-69.069310845828,-52.2870091303608,-35.1614935898383
25,1250,-37.875268384475,-14.5829887093152,-53.1576343389672,-22.7358330435316,-66.6081208679694,-67.8228291232105,-44.0937879418977,-89.9190379049839
26,1300,-39.3645444401101,-14.9838473356601,-47.8681985554526,-15.6124122365688,-57.3122841625196,-40.7304950496508,-50.9955109901477,-37.1958803136928
27,1350,-18.9825212230268,-23.5778105197059,-17.1952141222373,-14.7697586899834,-70.8682618345758,-69.2394005392459,-53.9733663299771,-72.6251900849019
28,1400,-16.0848477249241,-19.6358020972437,-29.4695822660692,-19.0304804298819,-70.2307781631971,-72.2107171778082,-52.1756922481323,-46.5293922279007
29,1450,-63.9194014746387,-14.2385933341812,-59.7859325948891,-14.9572194082529,-35.6535145591336,-68.3141363395469,-54.3495799966663,-34.2425585761434
30,1500,-16.8110305723906,-16.8660217951667,-32.4385686038523,-19.5706649232663,-65.1820137037301,-64.2024411686371,-31.0131248416651,-35.4579764214712
31,1550,-65.4350669037895,-15.2830554346783,-39.7953851823157,-52.5624058747901,-61.0987523089866,-69.0791727927447,-52.7494307230005,-38.7365826930263
32,1600,-70.3209110565433,-20.3045338139943,-47.4660907733208,-18.8774805673254,-64.6569374003026,-60.0889595045402,-47.6447798219484,-67.8065753454531
33,1650,-15.8315876453617,-17.8188714879864,-57.5283927036564,-18.750105879829,-60.1508680595287,-71.0521168477085,-46.5175711285461,-39.8052420643583
34,1700,-17.4327561279408,-13.6099794806634,-24.6722817898125,-28.7005678287887,-64.1144380026336,-75.8630260380794,-82.3197160590538,-45.7071324739744
35,1750,-14.7991617125495,-12.9410181582339,-17.9989330335266,-18.753292567539,-65.4269920782718,-70.6229371042586,-37.3907458041052,-33.0163633704534
36,1800,-62.1949331324119,-12.3273904837156,-17.3061299170368,-43.7794596278468,-64.0507312432432,-63.0360992216835,-46.7229730261156,-57.0142777095406
37,1850,-17.7394317524634,-17.8350255831667,-14.0664467838315,-20.3231603238394,-62.7963455243385,-62.2346015366411,-60.9808686250149,-40.3001327022105
38,1900,-31.0488972553458,-28.9034327650741,-14.8998301329049,-16.5896731311639,-59.6017966906277,-61.3018267191363,-57.7341034931764,-29.4612805989716
39,1950,-20.8150306291336,-16.0006257425083,-16.1281664690886,-40.5614246057172,-51.1870459657165,-75.7434824768218,-40.1932243192679,-40.1005492682758
40,2000,-21.6312729789527,-19.6112437981643,-53.0432351549721,-18.5013433345084,-59.5220232532912,-60.4990236102338,-54.1366699069867,-41.7889184530782
41,2050,-18.7034636467444,-17.4545430325263,-14.0643593698376,-17.5277722307806,-66.6021991723053,-68.0850336305884,-56.0978572044399,-49.8448411591698
42,2100,-70.9995972098273,-14.4958382038798,-44.5892440979532,-19.991086263685,-59.3979923876769,-41.3689480523112,-69.7606954451179,-39.122316618462
43,2150,-34.5591337823118,-20.5908009675808,-17.4342768606996,-28.3340755159162,-59.5460496142201,-57.645363174013,-56.6403718721977,-31.8679198243867
44,2200,-20.0900361598182,-20.6532407065082,-57.7526485562065,-21.0167873255826,-61.3096641991458,-70.0678617838304,-83.5995415550368,-43.7563629340315
45,2250,-52.9039874919653,-21.4209719693591,-13.9253650279791,-19.198034520016,-58.5065664873719,-55.8698343464166,-46.772450532514,-49.955395038477
46,2300,-15.1215314520993,-15.1300177354411,-45.2917820427465,-50.7828932125652,-58.7351560591166,-60.6209889326865,-82.8542236421518,-43.0587152323567
47,2350,-22.140500296517,-18.7074519711734,-51.722466737045,-50.8186817479897,-57.8958310255901,-43.0445793709684,-45.4867739071869,-34.5022033438272
48,2400,-20.4236031140951,-23.6393604540884,-18.892301769903,-53.87802131158,-59.6217485273208,-56.8007694046318,-63.9457376107598,-36.900960593503
49,2450,-15.9356444604509,-42.0761341849174,-54.2906428569168,-36.7404506719764,-58.8403803947382,-72.0645871453235,-53.4856438253924,-34.952488258836
50,2500,-14.9754732664311,-32.8029947077531,-24.9365483611094,-22.6932989453824,-57.5266691790055,-38.901397988308,-75.7610107063713,-41.5432565592875
51,2550,-53.2050267233241,-34.3373639549451,-16.7370886741487,-21.4746048481134,-59.5649477143247,-68.2987366690488,-47.6116290757412,-41.2360050474827
52,2600,-18.3433354178475,-22.6486959846339,-16.8832690337586,-20.4590709742411,-58.3909901990163,-62.5371717347883,-68.0265439615677,-61.1630564660488
53,2650,-16.9798903552947,-32.5970630419889,-37.3852376078483,-49.2621616772842,-60.94969033505,-64.706327094379,-47.687639939972,-34.1353554613542
54,2700,-19.7902478572857,-20.2804359890713,-25.0236381539928,-56.1958711080166,-61.6728179521359,-56.988219661825,-51.6940830817866,-64.6694723595858
55,2750,-33.4561294098792,-27.5915944704708,-41.5074519226525,-31.243198326819,-54.351272931563,-64.0692527792847,-70.921424714607,-50.4222408952013
56,2800,-15.8033267339458,-58.9987566723566,-15.5159707038659,-15.6165318164319,-65.8689955517505,-63.2172889089606,-45.2777810659864,-46.5881804390263
57,2850,-43.0039401632452,-27.2552334496733,-42.0753983466703,-17.6287418887539,-59.3066430998853,-51.1884709972927,-61.6294904512228,-36.7760375332584
58,2900,-51.5699714721293,-24.1825970149278,-16.0243162916069,-47.1271102016111,-63.5235385328823,-69.9771219037742,-42.297581963317,-43.7709159818436
59,2950,-62.3446848108235,-27.5225147839468,-19.9820096150283,-22.9606443532849,-59.5279303822907,-71.2392346690713,-54.5476469296321,-66.4212657512045
60,3000,-46.0231119569527,-23.0310915347903,-16.9124090401006,-41.2844200039361,-60.6992262273352,-68.5820672875881,-49.2431138811181,-47.822544959553
61,3050,-75.5544115595592,-33.7567185167218,-17.0440312820375,-16.4286459385221,-62.568179295759,-69.8815300114405,-64.5541378662393,-42.8447541961509
62,3100,-19.8282454182443,-41.0863593079374,-24.3580070197021,-28.3229965402975,-59.1928178410893,-65.2378317558994,-58.7097842715115,-42.2084872738781
