,,BCQ,BCQ,CQL,CQL,IQL,IQL,BC,BC
182,9100,-86.4237423194807,-34.3457420037694,-17.9257249864309,-44.3125205856566,-66.4418938134291,-64.3499713599631,-119.153618151808,-44.5055717949122
183,9150,-41.308120101276,-41.0439321784134,-17.0820318377289,-48.3073684281056,-51.8052099817714,-76.2013261679988,-111.63882240326,-50.4047567503005
184,9200,-64.6512442848679,-68.4712898781499,-15.1796037106341,-43.9547148173305,-63.5982063229744,-69.9327188622925,-52.5038780797423,-52.1171720698124
185,9250,-35.7883685341668,-53.1345088442557,-17.4299434670091,-15.0779416949439,-63.7821191655221,-66.9872511135149,-110.979830299573,-37.4001961876118
186,9300,-32.4604640166672,-44.7963801811277,-15.8382367153528,-42.8398203653937,-63.4563414151786,-69.9418697498238,-94.1054232949251,-37.7693434102923
187,9350,-40.8235686368704,-26.914104903783,-16.8666603502345,-13.5585712720742,-64.899234445912,-70.8924218165554,-129.636417659173,-52.8604912311227
188,9400,-36.7603643021425,-28.6201351615022,-16.0586192314131,-45.9658647529957,-66.0760381185296,-65.8663383416505,-127.330561830382,-47.4570075079955
189,9450,-72.5240370009156,-64.9321576694975,-19.4336531857698,-43.8975974678717,-43.3391543807812,-70.7466594778393,-55.9833513477777,-44.5030505484226
190,9500,-45.8636603120079,-50.8139283556425,-16.5150759767206,-13.0644948403551,-55.8302222953892,-71.4538134365017,-96.1405426756067,-36.6836555117874
191,9550,-40.1224094043169,-45.7316594457467,-16.3036265971682,-38.4491017119336,-55.8787729352085,-65.3640568551896,-99.5315801600117,-30.7738565372487
192,9600,-53.6467757885265,-63.2001340962902,-17.2901915548524,-42.4755307593705,-66.33286299629,-70.1419731127714,-78.7293909743239,-38.9908280512022
193,9650,-55.2892249264991,-63.5978058527482,-16.866198056093,-18.142728073279,-66.9673815204103,-69.1773747734342,-91.353463582255,-35.9164795605807
194,9700,-53.9829618004663,-33.4614343466102,-16.1704409300295,-19.5574010150465,-61.0277728236091,-72.1649239604018,-97.2271610476543,-42.2526632239245
195,9750,-37.6841015187147,-38.5582192234168,-17.0885284163979,-39.9508403637233,-65.2326641315324,-47.3784434237527,-97.0185810604413,-39.4593236050352
196,9800,-86.4826180704028,-42.8947682698949,-18.3296881546139,-12.4376249682454,-66.8401844973563,-68.8431645260532,-122.82770933176,-39.7380932904167
197,9850,-55.5201262001658,-83.2842970049943,-19.5394477769487,-37.4351217091375,-54.3404580017966,-38.7380567398823,-94.6716426491887,-23.6642559233844
198,9900,-36.4343734452074,-49.3497530950298,-16.0532441351578,-37.7141803642317,-63.9607374788983,-54.5736122627156,-99.6079861777271,-45.4512673154216
199,9950,-52.4310664137139,-35.0199225502445,-17.1431741724609,-41.5952151514384,-63.4999181696345,-69.865167035368,-110.020307939174,-48.1705409839305
200,10000,-47.2117173197624,-49.3684216513237,-19.0871139827391,-16.2738855798167,-41.6082923860355,-63.9755108885465,-96.1590240934499,-52.9089991934326
201,10050,-36.7585423902591,-42.6952975831293,-16.7583760058604,-12.4818375513541,-65.3167312973466,-73.9935406126769,-124.716671693677,-40.8664504556992
202,10100,-57.1169000205402,-40.1968045138648,-19.7789072089024,-15.4608025487443,-67.1203885004886,-73.0772497154101,-98.8744762288387,-34.8559561256394
203,10150,-54.1470283222444,-31.6335764954602,-16.2622195421449,-31.8867463643714,-65.0452623137294,-33.5696668960858,-88.0839627159689,-43.8356655713679
204,10200,-50.6963024035615,-30.9509758338461,-16.7886514885175,-31.8566663179231,-65.935663348591,-69.8394802512495,-109.943977883228,-38.911132564985
205,10250,-40.9510949516498,-47.1136583274461,-16.7410188120467,-34.4053444147691,-39.7519191765275,-69.6348498001107,-91.8726265359012,-45.385964929159
206,10300,-34.2055178315176,-59.8442448779312,-17.3906913431323,-32.1076219462749,-68.2990205081025,-71.2859575278275,-30.3960000198562,-34.439986434692
207,10350,-43.283569501761,-29.5214860413012,-19.1619673032606,-45.3932167087298,-54.4621117550423,-73.3527301538643,-64.3545381377474,-45.6270910817834
208,10400,-43.2336100751136,-40.5095008826929,-17.2371312489558,-14.921734728819,-62.0934189607155,-68.7369854938778,-99.8951273632615,-47.7951301412596
209,10450,-30.2055909893643,-41.1702699256585,-14.726024712098,-15.9197529319584,-67.7413905796803,-66.9296932733489,-115.479360026228,-46.6468781194119
210,10500,-56.9096930603288,-60.5631426674266,-17.6325447962335,-41.0380466773946,-95.9314253695137,-68.1194640655172,-56.547441045144,-47.1997903543862
211,10550,-30.3084599173968,-44.7169262021553,-15.9649545089608,-13.6426779783848,-62.6984525480825,-50.9765142407224,-87.6512503925207,-47.2838077336116
212,10600,-48.2037591596024,-39.6321744753133,-15.7870466694747,-14.139099774834,-30.9567573852145,-70.7399852122148,-39.749764226137,-83.8206982696153
213,10650,-82.4068883870395,-51.4295151081765,-16.6262997660312,-40.0438022435014,-62.4602804779207,-80.8676643245215,-56.4435172219572,-90.5780898080806
214,10700,-22.7146688544289,-44.9709849127013,-16.8599038180757,-15.3920704025739,-67.9813436665168,-70.7217764423578,-44.9696506165407,-49.9087639984857
215,10750,-38.9201556403765,-40.3667172983513,-14.8457667970225,-12.5008446628879,-58.244864804402,-66.4809105320479,-49.2200450428276,-34.7490352004903
216,10800,-42.8972307779498,-61.4676072903935,-14.7330591682474,-39.8572266185964,-69.0620643783459,-62.2288208271187,-35.3517526098458,-37.1914214441448
217,10850,-30.5250370389141,-63.8100150695971,-15.8516273092833,-12.3416549931578,-62.4315046715401,-67.3965003886915,-109.598184739136,-49.6982606654097
218,10900,-31.6047107215078,-39.1197808618407,-16.8004201381152,-35.148080325368,-62.7620044072471,-59.5248760235927,-46.4430675315104,-43.0206513436053
219,10950,-32.0481008886552,-47.1183082722951,-16.2913708126503,-30.4133922065339,-63.8471631048364,-67.3434000714479,-96.7218348745969,-38.1516749106546
220,11000,-29.769377094317,-59.4649716153377,-20.1329428514204,-30.7410258833192,-65.4658644271292,-76.4981122358116,-118.357728793364,-48.299016477304
221,11050,-23.2255769697696,-34.8933375156727,-16.4175809367936,-19.5385123760797,-67.6300984306295,-70.6317687911237,-32.7392668648305,-43.7297539600624
222,11100,-24.2745383425669,-29.6899383627734,-20.0637318572563,-34.9370763448721,-64.313214093028,-67.6302558329483,-102.735701653041,-46.1830106164921
223,11150,-29.2174413874428,-39.1921562662728,-16.9608301011436,-15.4353892776883,-58.6103702855952,-73.8973295377082,-71.8251396899716,-49.8139350056866
224,11200,-28.3194462563619,-36.9564179533456,-15.1200594312452,-44.1245352835955,-64.5195185011216,-74.2925310077674,-119.898043914956,-79.9392386628092
225,11250,-36.8194018449939,-40.9639359890895,-16.93847754022,-29.1419752070325,-69.5734539511724,-78.1159948959392,-56.4188266873323,-45.7831375320271
226,11300,-24.7766905270196,-37.8448286550362,-15.6504989500471,-14.2305539143361,-27.3046491605046,-73.8523336934968,-40.7894027893278,-49.203372435245
227,11350,-25.6037827365836,-65.9973824742229,-21.9623048087514,-13.2861412133372,-48.0812628282236,-72.2339852238861,-78.9449283612579,-46.9571403482075
228,11400,-26.9864770124324,-35.3283241456663,-16.3024153434206,-17.8668813402648,-46.473942980197,-26.0724700254336,-34.0208231271302,-41.0276906986076
229,11450,-39.312708960004,-35.0589677827947,-18.0625590591144,-13.460197807972,-37.4519184890142,-72.8305888171522,-43.8823924689729,-48.1344326373313
230,11500,-26.6732632502854,-41.5457108953592,-21.3397686406591,-23.6802030603305,-64.7303274511621,-75.9261058089869,-32.8694832797952,-47.0761132198094
231,11550,-43.7400359564438,-40.7905953329407,-15.3091964040769,-14.148297213826,-66.2855727115509,-67.1699540684415,-14.9623499334892,-46.7376634082031
232,11600,-41.2453032852917,-46.5551454988087,-17.0364055820708,-20.2756332154311,-59.8282049951155,-77.2598434054409,-28.9133787584833,-47.5162317420519
233,11650,-41.354570564399,-35.8474355980028,-15.4668264167408,-13.6077176698977,-61.9858478771842,-71.3336933636192,-92.2056971152749,-39.2044212596808
234,11700,-66.412973262978,-49.6191102135147,-16.5529494642276,-12.1927496804059,-71.3568431804207,-80.8429906409271,-36.5108592129615,-47.5782345408827
235,11750,-41.7311039633511,-36.1438699311891,-16.0899629760149,-11.7586474306608,-72.2064162190722,-66.6131625487704,-95.6199959741604,-48.851586146572
236,11800,-41.6142967983885,-60.7918618933049,-15.4399698516504,-21.9021721515034,-57.3836488003291,-71.4569954276614,-41.2959790162447,-42.7158591684749
237,11850,-34.4353014942723,-43.5826891885655,-14.5962936351564,-13.7279818103849,-53.8520393833743,-70.2013969733792,-39.5863665970703,-99.0207904699475
238,11900,-41.6712764286933,-45.3920363814195,-15.1212944096852,-38.332943597962,-69.0995457109165,-71.7772834974949,-45.5836789989941,-37.4709280997283
239,11950,-40.0130137874361,-39.685313157836,-17.3251560273896,-12.5032808485008,-61.8574149774646,-72.0225419124288,-107.030305992414,-46.9928907085148
240,12000,-42.4841076833299,-43.2453479705568,-15.2702676347125,-13.9282951218801,-61.5494875040132,-72.1976414599193,-111.989550870941,-47.3308043646971
241,12050,-44.7531238748071,-40.8366889470054,-16.5775603363497,-19.4452793108263,-66.3836994135105,-75.9164025308082,-30.4974087580182,-42.722427609627
242,12100,-43.8173385697337,-44.5869188515752,-16.1878006650012,-15.0009860796599,-69.1948814694647,-72.0301110194214,-29.8959382988219,-47.1273109203685
243,12150,-39.4670854267178,-52.1313426179186,-15.2057270802353,-14.1913597585915,-68.3731718659787,-73.3284672773888,-115.420211316727,-44.257598897183
244,12200,-41.4525665339323,-42.0808904122931,-18.169677271807,-20.6552076625203,-64.7994913867,-81.7840371262355,-34.6440258499359,-46.0569811882794
245,12250,-40.5579901375111,-33.5576837819547,-16.3255125207703,-13.7781100686138,-43.8039558286567,-74.4246570310182,-38.9432640291899,-44.6176514678779
246,12300,-39.172417800849,-55.3791025774106,-15.5377762008698,-18.9185360149669,-68.6164010633212,-72.8998176450894,-29.9914514932133,-46.8651189597172
247,12350,-34.5123658381974,-46.5616945020733,-16.5939075019457,-12.070755440483,-53.8367325164627,-75.3928137997095,-100.543986797523,-49.3416921731709
248,12400,-36.4369578279714,-35.7468577390673,-16.0525861882985,-14.3658771565545,-71.623114201301,-71.8834229546156,-119.402738893991,-38.475008646443
249,12450,-43.1529238459345,-38.8967991191183,-17.2085114076376,-15.118866230876,-63.827262348489,-30.0545898648506,-90.9871249825236,-47.3611295405238
250,12500,-41.8428005185295,-36.3886922550938,-14.9964272321451,-14.6522571160448,-71.2017778974444,-74.3441537407743,-93.0393657571094,-49.6722587083758
251,12550,-40.1938840599727,-57.8381443312869,-14.5247386922604,-11.1082756279801,-61.5434341517267,-74.9336088338299,-56.4047549548485,-99.4166347975557
252,12600,-39.041840662682,-36.2656791637602,-14.2807566538979,-13.1580839450181,-74.3639202031857,-75.8759399633268,-33.7396121866773,-39.114642643211
253,12650,-61.3162164811548,-37.2233256875626,-20.7276310900299,-13.1347843555589,-68.6544232924444,-75.5914265536311,-37.7429613175293,-44.7263170982458
254,12700,-63.3617123808123,-31.1149258028241,-14.8179068280661,-14.1767713035922,-73.8861852401335,-75.4456131746657,-111.686809262786,-46.6707450942172
255,12750,-44.0305984133463,-55.9260129118143,-16.8144914440012,-13.7098742746361,-72.0673931335881,-76.5323931472262,-43.8191865379474,-48.5649091685948
256,12800,-28.6068269063709,-45.5920718470267,-16.9320880896436,-15.0009004613498,-73.7780604197233,-72.7576568880681,-42.2637569922638,-96.938072679012
257,12850,-32.7310576279641,-34.0924576080257,-14.8979898585183,-12.0092447766098,-59.9188929506094,-80.8520234781346,-43.9599913750479,-44.8994445367446
258,12900,-38.7939463519348,-51.2245126082971,-15.2943535179062,-21.8117574053747,-72.443841404514,-41.2198340192934,-40.25357225871,-44.8109926864855
259,12950,-60.735514231111,-35.95717618436,-16.0098896630972,-13.8167421841091,-66.7868687830601,-79.2763244223776,-75.8308077560067,-101.209733949184
260,13000,-43.336240622494,-34.8123360738106,-15.0473758239939,-14.7390582879731,-71.919748949833,-74.7708209345448,-98.818787295615,-73.4641112326323
261,13050,-42.5035796544585,-48.7601612345327,-14.9291159488585,-14.1043703058107,-71.6825373485179,-77.3395545655377,-110.338530756032,-41.4178808976496
262,13100,-42.3961337699793,-35.7379483323054,-15.8896898910644,-12.2202452110903,-66.3508683161192,-76.6964282311798,-40.1562447831062,-48.7099958581985
263,13150,-48.5301637963284,-35.9452446504594,-16.4932175215814,-11.8481711133205,-71.5171907956917,-80.7704857915573,-38.1688800010238,-48.7497799162009
264,13200,-36.1439814099429,-39.7075054258642,-14.6125655775229,-12.3778654335168,-70.0170161092298,-82.0413532973281,-52.1566153190131,-46.3928086980006
265,13250,-34.1859550175572,-60.6656154648908,-14.391228680245,-12.7050927801886,-73.027272694463,-74.9105224097346,-32.9214209008543,-64.9814354105694
266,13300,-39.8086420729356,-33.2164288531765,-14.4903947229791,-12.1987476993857,-71.7994631001344,-78.0754956992922,-56.9667522884727,-47.0286836646407
267,13350,-42.7996522376355,-45.2426309938154,-15.3522279679145,-13.3680624422918,-68.1716580194753,-79.1542290039269,-32.1690088202051,-92.8740904503371
268,13400,-22.904068229389,-51.2678819651782,-16.1733449659229,-12.0908020661295,-69.4353145639362,-73.2783544661047,-86.3344429835549,-92.8851824508031
269,13450,-44.0958383698537,-45.0495469049542,-14.8922897797663,-13.3138798511678,-73.0862143998799,-73.280744033086,-87.0985692351521,-46.8299551233012
270,13500,-27.8453578878441,-35.9936785595391,-15.8611675583211,-14.9847496301205,-55.4571243157287,-74.409618431962,-74.8420098125275,-46.6728394753503
271,13550,-38.7226649815481,-39.3499608088787,-13.0182422847474,-13.8277945206131,-75.2250009710263,-74.9785991481916,-33.035260317549,-39.5952271049401
272,13600,-40.1872005803783,-34.2565857297364,-13.1375669983824,-12.5740806979328,-74.3681717852711,-76.7989099233628,-101.855166088916,-49.0619265186198
273,13650,-37.2165364211826,-46.425655744881,-15.2151540148056,-15.2186334536308,-48.3931179458434,-77.1742281213395,-45.8262119892662,-48.6888385397195
274,13700,-42.5190416224338,-53.2555159523301,-14.4045398942308,-13.7838575750016,-69.6183015290662,-71.798518937424,-93.6159921684058,-47.8411873105903
275,13750,-55.8720603519563,-34.603474074807,-14.254270551826,-13.07092948524,-64.6887925374375,-73.3095381425264,-27.0104828431549,-47.2700397254139
276,13800,-30.0773619872326,-36.1321164769896,-16.0494084294702,-12.2111144029762,-72.2463879792256,-69.1312372664166,-46.7924778729473,-39.4380201301098
277,13850,-34.5028487301868,-33.9104937172695,-13.8214912310373,-13.6712081571415,-68.5436717278944,-72.9099324850427,-32.6219603037911,-48.7059408089119
278,13900,-27.1704766574824,-34.0759291970919,-14.9491978216595,-12.5444450893273,-65.5770560205137,-80.0712053704904,-54.5916989860482,-40.4313967655062
279,13950,-38.0743895479671,-32.3042198444533,-16.1474702159818,-13.8290574529668,-72.8446564598058,-80.4539810720511,-28.7418291575777,-43.4095260109557
280,14000,-38.8073435194646,-31.8817160820773,-17.5013758877697,-13.1761261336454,-71.999586782238,-77.7459079700351,-32.6805370802022,-46.6233845735351
281,14050,-27.2972651631435,-47.1404439863783,-15.453468910188,-12.4978024721696,-72.520544975979,-73.3928026760457,-43.4153560203483,-40.4320014797659
282,14100,-39.2003591641196,-48.2501942033086,-17.0678199440816,-14.7277760613179,-30.3319943431351,-79.2338013129808,-54.8844584037326,-96.9023501764332
283,14150,-42.9024885926131,-45.4250528900614,-14.9453995973852,-13.5975188695887,-69.1493673943375,-77.5193558200897,-31.0081524231202,-92.0848111032387
284,14200,-42.7861595036496,-38.397692526496,-15.4081484838197,-13.74307606748,-59.9358500133897,-82.2208721391857,-38.7757486731965,-33.9219843019792
285,14250,-20.7530300119,-40.274546908372,-15.4911391526092,-14.0405593641627,-74.5486945572312,-78.7004167466228,-30.9593213360788,-45.782818053871
286,14300,-28.288265743014,-31.4743870381527,-15.7328085387326,-13.8780150316185,-64.9548054664526,-77.8907115516693,-38.7451060558395,-46.6278585334
287,14350,-39.5202903629999,-34.4427729051241,-14.7857579178734,-13.5361082242107,-33.222301069755,-78.0987285286463,-93.0857364751921,-38.585190921421
288,14400,-22.1848057159074,-43.6661600245538,-15.8423148364237,-12.5964708571129,-77.136753744653,-73.2854310577605,-99.719961835633,-40.1915675197384
289,14450,-29.6527019105667,-35.0329122570009,-16.8139018701997,-12.4669453053984,-73.9904500624725,-74.7300053749955,-91.7687038686811,-46.8572121360251
290,14500,-52.4964713434329,-39.2760055608605,-14.0505349172074,-16.2926389360831,-75.6155824279328,-76.1234573271036,-37.5604640464407,-46.175558623654
291,14550,-38.6173852748306,-29.3458825354372,-16.1016979117957,-14.3424227351759,-71.4565056113228,-75.886030891999,-103.309324612054,-40.0388107528587
292,14600,-43.3210716693019,-39.1188442200866,-16.6432189508815,-13.5548023040219,-68.7998784269617,-74.3126909930029,-38.2677618643563,-46.506044607006
293,14650,-48.9668977634674,-52.5009732885194,-16.3414126488003,-13.0983915855571,-80.6251374166369,-75.3778603405652,-30.4266638075537,-46.5796815187147
294,14700,-22.7344162628112,-32.6032372740628,-16.5680964279152,-13.7642254539543,-76.5831555018579,-24.8147647633069,-29.2010422667987,-42.2049179740921
295,14750,-42.5406245489833,-36.3954441767456,-15.4341049823613,-12.390763996989,-74.9277123713765,-79.5631144370194,-95.1386664290401,-44.4612949344982
296,14800,-37.0723751709744,-56.3388967086223,-14.6694052690517,-14.4440384767354,-66.9586341037491,-73.1404337979956,-105.281079109633,-45.5280419590738
297,14850,-30.0537766535869,-43.8485939342955,-15.2430721894556,-13.106257864833,-67.6509082844216,-74.1152156944322,-41.4700999148923,-36.6784654264731
298,14900,-34.8387657125885,-40.0630531982555,-15.6979757322605,-13.5609364816984,-57.9620286164723,-77.8915211406283,-39.9159615416112,-47.4298131814084
299,14950,-43.1941066365828,-40.0675120492972,-15.2487116092548,-14.1366105654851,-72.3119784496479,-73.7136252158584,-96.9258099194966,-41.7335367792029
300,15000,-27.6468347407614,-32.2115166260582,-16.5366629284608,-13.6914401321541,-72.9544167978337,-85.2155761746342,-39.6553779691909,-44.6631351506704
301,15050,-36.2487896722599,-46.8966940840544,-17.384720827932,-11.456424656413,-73.4358823577509,-77.1796077785585,-42.7222393580028,-47.4527427398127
302,15100,-28.5633284312259,-40.8348415232755,-15.5321489523921,-13.5033442041107,-72.2944385335025,-80.3221998385745,-88.2576835192354,-47.1932416243774
303,15150,-33.7742607805518,-51.4660474860408,-15.3426601672884,-14.0559959891399,-75.9046489692871,-76.4763083243303,-42.9860806098921,-43.4732121493104
304,15200,-24.1863586061424,-32.0152192233055,-16.9162921261524,-15.3998972751382,-79.0512515875539,-78.5599306143384,-53.7744517475211,-66.8795149962172
305,15250,-23.4678207469546,-35.2816777162203,-16.186356922059,-13.8028729186239,-74.8800270926422,-75.6721511043914,-34.9805552803062,-86.8989795078166
306,15300,-22.9467934254844,-40.4167925858334,-16.1091579069456,-14.248293375225,-73.756361190394,-81.4672046244851,-54.7222512752971,-43.9453861900784
307,15350,-27.3887038607036,-34.3885832152691,-17.1400921421451,-12.2023274571084,-81.1792745412411,-81.353447764466,-52.5518458727534,-41.9670461096815
308,15400,-24.569412024314,-33.7828922272699,-16.7807813205323,-14.4111067393013,-72.9755748811158,-82.0309210748137,-31.3978692658132,-41.233041261361
309,15450,-38.5224531649738,-31.0750668846746,-16.1277267906517,-14.1963800307424,-57.6395391032946,-74.7215928943043,-93.4361155248494,-69.5324476633957
310,15500,-26.3456087813708,-34.4966703520645,-16.0753143863442,-14.104649653323,-89.7461264965577,-76.9070902755842,-109.501176166114,-33.5292281804477
311,15550,-29.9021966279405,-34.1943689970212,-16.5704914712471,-13.8294948546441,-74.3102143905404,-82.6714186414349,-106.344442456522,-46.0440462803004
312,15600,-44.3233070657842,-29.1954421529347,-19.1076165174222,-14.3085072566968,-83.9643887608678,-81.287319743762,-110.145045819717,-47.3454312813369
313,15650,-36.0968070282083,-38.9592229084647,-18.7778710113437,-12.1465183796329,-75.3943029350173,-77.3946478324498,-35.2825092128214,-44.7237015693879
314,15700,-22.5901179150194,-34.9155920579663,-15.6570168623473,-13.2667259748652,-71.666325392532,-75.7538168425629,-31.0776124987827,-43.5568747158728
315,15750,-41.2551474228935,-29.1330038703747,-18.728662949242,-14.7797331881974,-68.6075593449923,-75.2315656588206,-43.4589786049836,-45.7496693912067
316,15800,-35.6875744872025,-40.3111114732163,-16.9731135529094,-11.9202732995536,-44.2902326085671,-78.9979910073137,-24.7434579426298,-49.8440951919119
317,15850,-23.0272015314932,-33.7458263954315,-14.8652663623248,-12.3025952883832,-74.2712030014552,-26.1676133869588,-42.1004678426167,-43.1880638701761
318,15900,-30.0135968324429,-34.4723626350734,-15.8715961271549,-14.5142479816564,-53.6573342711136,-73.5215009676062,-37.8619957667376,-45.9920868314921
319,15950,-21.4008725828023,-33.2280391369515,-16.1026748718243,-14.0643915644745,-61.7928478895091,-78.7379500885317,-66.729836281836,-41.8439629363473
320,16000,-26.2451737402169,-31.9274973125229,-18.6407692087685,-14.7987534773704,-75.4264297496434,-79.0383077648157,-29.5153604485109,-82.4748918809357
321,16050,-42.7219724119364,-39.5941264574765,-16.6833374987525,-13.323978355334,-51.4000622660133,-26.2367197393265,-39.3513886727266,-45.9751153118141
322,16100,-37.84117453377,-42.271509342055,-15.9188518900363,-12.7982379196512,-39.9977693102206,-76.1626106206506,-38.6186880079821,-40.2982491177
323,16150,-34.0500576268704,-39.5045042792208,-17.7697956959019,-12.1697562386671,-74.751615031446,-30.8637433776578,-36.884060247425,-31.4303864930916
324,16200,-35.558778603196,-35.0905613788386,-17.6343803076623,-11.9864979058612,-73.8792447776869,-78.1600116157958,-28.7627786529468,-36.4247737320591
325,16250,-37.6768564832026,-33.8476177789458,-17.4925533440454,-15.7539654669046,-73.7088362335093,-80.9797155193244,-111.886443742358,-81.615845992974
326,16300,-28.6161633652704,-28.6066374233003,-17.7760105168273,-15.9911028918095,-77.1881129903143,-80.3550360867752,-35.7063262683609,-81.3705703635399
327,16350,-34.2930221464026,-44.1387311524317,-17.3677479409661,-15.3531032174117,-26.770898438478,-76.4902705457496,-105.481235401793,-26.2656312902801
328,16400,-45.0189185611703,-32.7507420600383,-18.7294355224158,-13.3961887629469,-63.3367530069689,-76.0199760806021,-39.717211517572,-80.6170452681409
329,16450,-27.6208306624794,-27.797472932824,-18.9508326209059,-13.2033707522825,-46.3318821502244,-72.6446462345642,-86.7307043080621,-43.7082877492161
330,16500,-30.3230358950005,-30.7021088066241,-16.4076323503417,-16.0040632852835,-74.7837999172923,-77.2007290689628,-105.232355173478,-34.5309051194364
331,16550,-31.546387306961,-40.9484733185387,-17.3685523721638,-13.0454052526125,-75.5061611399385,-80.6421239521888,-104.512179049645,-44.620831605438
332,16600,-33.8301352901107,-32.8332069740205,-17.5584123841348,-13.6198127781752,-55.6562425870898,-79.5582696778305,-32.3836512992947,-43.4602660632728
333,16650,-21.0387756064114,-30.1371538045283,-16.2409148484966,-13.6009575498891,-57.49312257817,-77.9618492777642,-104.603725971451,-82.9416825362106
334,16700,-42.3742386990441,-29.1726247036699,-17.6619624589262,-13.6755829969821,-59.9156767290188,-78.8464937597577,-114.426315367099,-42.6371987124061
335,16750,-29.4736589467385,-41.0010347346933,-18.0788777467542,-15.5022991255349,-77.4987554012492,-76.8099700577398,-36.1065757942031,-36.0828813781312
336,16800,-34.2088937794156,-32.0412358093774,-16.1431324539986,-13.0762371658655,-44.8482279021725,-76.9521856164459,-37.75330009503,-83.8666523704058
337,16850,-28.9190258064189,-32.0328924897013,-15.7755842071182,-17.0723331773298,-52.8043308801677,-70.4239711621427,-29.3420270930577,-38.504292173619
338,16900,-24.6786013684874,-30.368268288961,-17.3280921354221,-15.2449294833611,-44.794334795749,-76.6843501556936,-86.5659373046815,-41.3517357848507
339,16950,-20.7433492791139,-36.0560168392702,-16.5829542492328,-15.7890072705122,-75.016954687755,-79.4157481359736,-109.070837742469,-45.775420116332
340,17000,-44.839960630528,-35.7733226516267,-16.3848921155354,-17.5713806298816,-77.3721518768037,-80.0170731149528,-114.523143847769,-43.8498294523101
341,17050,-27.1017467431572,-40.9608771382962,-16.9919701472236,-15.0342544035481,-72.9546938526353,-76.4953962242679,-45.8877655527047,-38.3594427032891
342,17100,-26.6600575692123,-41.6848454162381,-19.6897790630642,-14.4930364807964,-74.4703141323171,-73.1875276762501,-42.3429804781238,-37.255393911097
343,17150,-23.6716022504472,-37.5917971012865,-17.1676512155784,-13.6273343253714,-52.3057020026401,-35.2331999350242,-36.1337767507798,-43.6064188700837
344,17200,-30.2466609355611,-38.9992944826909,-16.5093123606505,-14.5465726041078,-62.8646683328586,-78.3297334833083,-24.2696705705063,-44.9279590300913
345,17250,-31.0297056763151,-33.8013192652186,-18.411399238516,-15.3876666215872,-61.6947396579533,-73.9712630394295,-115.414678785441,-39.5782021290106
346,17300,-16.711585594314,-37.2790967453137,-17.1303611307203,-17.4005156885276,-82.3729553115169,-36.4202053375287,-40.6192527460666,-43.7688850459698
347,17350,-25.43924512958,-31.5201366953264,-16.8090506078255,-14.7138844940436,-62.098962744976,-24.3585454848012,-33.190372465991,-79.3485858335694
348,17400,-33.9669694594738,-41.8172357744319,-18.4588798055021,-14.2437611858849,-64.1574939449677,-79.5466259572728,-34.6015847221063,-74.8937556333547
349,17450,-24.1294135115876,-39.9485307098699,-17.0184091522786,-14.9191252533419,-81.5093123797639,-35.7474480885232,-36.4045356743056,-35.6398008132016
350,17500,-29.0577173620784,-34.8828898393479,-14.6978507392483,-14.6065307231915,-43.3182572843187,-33.4032299273346,-52.6343850570443,-45.5243974503089
351,17550,-24.9604340326227,-39.4893639559129,-15.7345411159258,-12.9033407702184,-83.5362315746254,-78.7106980709593,-79.5899392530869,-44.5671330148444
352,17600,-20.9096672752497,-40.392426800399,-16.8589399995543,-16.4443657707097,-78.9455900372242,-83.5919919092145,-99.5583272892764,-46.7825933996167
353,17650,-29.2881419822341,-37.8875381299557,-17.2508795737047,-15.3848540756409,-43.0271216466753,-77.5722838192443,-88.7760639008605,-36.7694582623849
354,17700,-43.3510600608511,-39.0188751907884,-18.8389319256192,-16.0229986054684,-87.2521470980523,-76.649941108571,-94.1980312729148,-34.7154913497874
355,17750,-22.9644888047657,-29.5702878125596,-16.1483436004927,-16.7682534580734,-78.2340849668408,-73.7065283688971,-93.0478199297495,-45.1238900999067
356,17800,-30.3179179843841,-32.9672564001045,-17.580794370992,-17.6531077347032,-35.116078758238,-74.791138740884,-103.674797292841,-46.0263922219279
357,17850,-29.7644073894601,-41.3587522504885,-15.3992368721505,-14.0421676367345,-78.207255264175,-78.5136781436268,-115.222313724088,-47.3367780105589
358,17900,-33.6819664870254,-37.0076636689376,-18.0199066456266,-15.4919330871879,-75.8814943576621,-74.3857848902644,-72.0114423395746,-46.2852939262895
359,17950,-25.8394701082036,-35.4647687563558,-16.9306547387226,-15.2843132811166,-51.2946680913193,-74.7969571355119,-54.8070333792444,-38.8364415315506
360,18000,-15.9512733036011,-30.946757554858,-19.6250385126825,-14.3564235861069,-78.4923264624684,-73.6241805133284,-38.2853413817943,-31.0457902749435
361,18050,-34.189177190639,-35.8889886563376,-18.2250051753109,-13.3929486425674,-34.4859208273416,-69.769251324268,-68.7371365808093,-42.69023800674
362,18100,-27.9538890008347,-32.5096833944624,-14.9555762899994,-14.2073341443725,-61.0495711716927,-77.4398006778557,-79.075089206812,-78.0690376279989
363,18150,-23.5732787736094,-39.5575195292316,-19.3459983346023,-15.9497339559897,-74.0286810060681,-73.6604349768916,-46.3490462351251,-45.6376641467275
364,18200,-24.4301289817137,-61.8225250986363,-19.2816027651852,-14.7851006175313,-74.9475809318957,-71.7894766991326,-35.1869259313284,-43.6700646340478
